OBJECTID,NOM_POBLAD,FUENTE,CÓDIGO,CAT_POBLAD,DIST,PROV,Departamento,CÓD_INT,CATEGORIA,X,Y,N_BUSQDA,DEP_NORM,n_hospitales_10km
49201,RIEGOPAMPA,IGN,,,SAN JOSE DE QUERO,CONCEPCION,LIMA,1746,Centro Poblado Menor,-75.54816,-12.05101,RIEGOPAMPA,LIMA,0
113954,YANAPAMPA,IGN,1503010014,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.88966,-76.88966,YANAPAMPA,LIMA,0
113955,PUMARINRI,INEI,1503010015,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.87627,-76.87627,PUMARINRI,LIMA,0
113956,TONGLA GRANDE,INEI,1503010016,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.89722,-76.89722,TONGLA GRANDE,LIMA,0
113957,ALPAYACU,INEI,1503010017,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.88002,-76.88002,ALPAYACU,LIMA,0
113958,TOCLAPATA,IGN,1503010018,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.89709,-76.89709,TOCLAPATA,LIMA,0
113959,ISCOPAMPA,IGN,1503010019,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.92644,-76.92644,ISCOPAMPA,LIMA,0
113960,COLPA,IGN,1503010020,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.94979,-76.94979,COLPA,LIMA,0
113961,RAGAS,INEI,1503010021,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.9572,-76.9572,RAGAS,LIMA,0
113962,PAGSAG,INEI,1503010022,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.98352,-76.98352,PAGSAG,LIMA,0
113963,ULARAGRA,IGN,1503010023,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.98713,-76.98713,ULARAGRA,LIMA,0
113964,URA PORIS,INEI,1503010024,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.04322,-77.04322,URA PORIS,LIMA,0
113965,MANI,IGN,1503010025,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.04688,-77.04688,MANI,LIMA,0
113966,SILCAY,INEI,1503010026,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.06064,-77.06064,SILCAY,LIMA,0
113967,PACAL,INEI,1503010027,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.05339,-77.05339,PACAL,LIMA,0
113968,UTCAS,IGN,1503010028,PUEBLO,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.05659,-77.05659,UTCAS,LIMA,0
113969,SHAMPAY,IGN,1503010029,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.0584,-77.0584,SHAMPAY,LIMA,0
113970,MALALIN,INEI,1503010030,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.02882,-77.02882,MALALIN,LIMA,0
113971,SISCAN,INEI,1503010031,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.02723,-77.02723,SISCAN,LIMA,0
113972,HUAMANACA,IGN,1503010032,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.01583,-77.01583,HUAMANACA,LIMA,0
113973,COCHAPAMPA,IGN,1503010033,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.01171,-77.01171,COCHAPAMPA,LIMA,0
113974,PUQUIOG,IGN,1503010034,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.00827,-77.00827,PUQUIOG,LIMA,0
113975,QUEROCHANCAY,IGN,1503010035,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.00591,-77.00591,QUEROCHANCAY,LIMA,0
113976,HUARNIJIRCA,IGN,1503010036,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.00659,-77.00659,HUARNIJIRCA,LIMA,0
113977,ASTOBAMBA,IGN,1503010037,PUEBLO,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.99523,-76.99523,ASTOBAMBA,LIMA,0
113978,CUNAN,INEI,1503010038,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.99301,-76.99301,CUNAN,LIMA,0
113979,FLORIDA,INEI,1503010039,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.99394,-76.99394,FLORIDA,LIMA,0
113980,CHUNCHUILCA,INEI,1503010040,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.98859,-76.98859,CHUNCHUILCA,LIMA,0
113981,AMBAROCO,IGN,1503010041,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.97537,-76.97537,AMBAROCO,LIMA,0
113982,PUMACOCHA,INEI,1503010042,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.97018,-76.97018,PUMACOCHA,LIMA,0
113983,HUMACAYAN,IGN,1503010043,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.96335,-76.96335,HUMACAYAN,LIMA,0
113984,CRUZCANCHA,IGN,1503010044,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.97031,-76.97031,CRUZCANCHA,LIMA,0
113985,TABIN,INEI,1503010045,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.98141,-76.98141,TABIN,LIMA,0
113986,SAQUICOCHA,IGN,1503010046,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.00372,-77.00372,SAQUICOCHA,LIMA,0
113987,YUPAGCANCHA,INEI,1503010047,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.99361,-76.99361,YUPAGCANCHA,LIMA,0
113988,MACANACOTO,INEI,1503010048,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.97515,-76.97515,MACANACOTO,LIMA,0
113989,MITOALANA,IGN,1503010049,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.95797,-76.95797,MITOALANA,LIMA,0
113990,HUAYLASTOCLANCA,INEI,1503010050,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.91516,-76.91516,HUAYLASTOCLANCA,LIMA,0
113991,COPA,IGN,1503020001,PUEBLO,COPA,CAJATAMBO,LIMA,1450,Capital de Distrito,-77.07913,-77.07913,COPA,LIMA,0
113992,PUQUIAN,IGN,1503020002,ANEXO,COPA,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.09004,-77.09004,PUQUIAN,LIMA,0
113993,TUPIAC,INEI,1503020003,BARRIO O CUARTEL,COPA,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.07812,-77.07812,TUPIAC,LIMA,0
113994,HUAYLLAPA,IGN,1503020004,ANEXO,COPA,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.00014,-77.00014,HUAYLLAPA,LIMA,0
113995,CHECCHI,INEI,1509010002,UNID. AGROPECUARIA,OYON,OYON,LIMA,1550,Centro Poblado Menor,-76.79224,-76.79224,CHECCHI,LIMA,0
113996,RANGRAPATA,IGN,1509010003,CASERÍO,OYON,OYON,LIMA,1550,Centro Poblado Menor,-76.79916,-76.79916,RANGRAPATA,LIMA,0
113997,YANCO,INEI,1509010004,UNID. AGROPECUARIA,OYON,OYON,LIMA,1550,Centro Poblado Menor,-76.75451,-76.75451,YANCO,LIMA,0
113998,MALVADO,INEI,1502020002,CASERÍO,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.62696,-77.62696,MALVADO,LIMA,0
113999,CHIQUIAHUANCA,IGN,1502020003,UNID. AGROPECUARIA,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.62947,-77.62947,CHIQUIAHUANCA,LIMA,0
114000,MANDAHUAS,IGN,1502020004,UNID. AGROPECUARIA,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.65653,-77.65653,MANDAHUAS,LIMA,0
114001,DOS CORAZONES,IGN,1502020005,UNID. AGROPECUARIA,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.66235,-77.66235,DOS CORAZONES,LIMA,0
114002,HUANCAR ALTO,IGN,1502020006,CASERÍO,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.66981,-77.66981,HUANCAR ALTO,LIMA,0
114003,HUANCAR BAJO,IGN,1502020007,CASERÍO,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.67773,-77.67773,HUANCAR BAJO,LIMA,0
114004,ANTA,IGN,1502020008,CASERÍO,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.69215,-77.69215,ANTA,LIMA,0
114005,QUILCA ALTO,IGN,1502020009,UNID. AGROPECUARIA,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.70792,-77.70792,QUILCA ALTO,LIMA,0
114006,SHAURA,IGN,1502020010,CASERÍO,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.70751,-77.70751,SHAURA,LIMA,0
114007,QUILCA BAJO,IGN,1502020011,UNID. AGROPECUARIA,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.71629,-77.71629,QUILCA BAJO,LIMA,0
114008,LA RINCONADA,IGN,1502020012,UNID. AGROPECUARIA,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.72491,-77.72491,LA RINCONADA,LIMA,0
114009,SAUCE GRANDE,INEI,1502020013,UNID. AGROPECUARIA,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.72898,-77.72898,SAUCE GRANDE,LIMA,0
114010,SAUCE CHICO,INEI,1502020014,CASERÍO,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.72511,-77.72511,SAUCE CHICO,LIMA,0
114011,MONTE GRANDE,IGN,1502020015,UNID. AGROPECUARIA,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.73218,-77.73218,MONTE GRANDE,LIMA,0
114012,CUTATAMBO,IGN,1502020016,UNID. AGROPECUARIA,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.73696,-77.73696,CUTATAMBO,LIMA,0
114013,LA VILLA,IGN,1502020017,UNID. AGROPECUARIA,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.74199,-77.74199,LA VILLA,LIMA,0
114014,HUARICANGA,IGN,1502020018,CASERÍO,PARAMONGA,BARRANCA,LIMA,1350,Centro Poblado Menor,-77.75012,-77.75012,HUARICANGA,LIMA,0
114015,CAJATAMBO,IGN,1503010001,PUEBLO,CAJATAMBO,CAJATAMBO,LIMA,1550,Capital de Distrito,-76.99256,-76.99256,CAJATAMBO,LIMA,0
114016,LUZO,IGN,1503010002,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.00351,-77.00351,LUZO,LIMA,0
114017,URAMAZA,IGN,1503010003,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.01766,-77.01766,URAMAZA,LIMA,0
114018,RODEO,IGN,1503010004,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.9561,-76.9561,RODEO,LIMA,0
114019,GUANACPATAY,IGN,1503010005,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.91527,-76.91527,GUANACPATAY,LIMA,0
114020,PUCACALLE,IGN,1503010006,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.82863,-76.82863,PUCACALLE,LIMA,0
114021,VICONGA,INEI,1503010007,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1550,Centro Poblado Menor,-76.84914,-76.84914,VICONGA,LIMA,0
114022,CURQUISH,IGN,1503010008,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.03477,-77.03477,CURQUISH,LIMA,0
114023,LAGAUYA,INEI,1503010009,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.02039,-77.02039,LAGAUYA,LIMA,0
114024,CASHAPAMPA,INEI,1503010010,UNID. AGROPECUARIA,CAJATAMBO,CAJATAMBO,LIMA,1450,Centro Poblado Menor,-77.06266,-77.06266,CASHAPAMPA,LIMA,0
