OBJECTID,NOM_POBLAD,FUENTE,CÓDIGO,CAT_POBLAD,DIST,PROV,Departamento,CÓD_INT,CATEGORIA,X,Y,N_BUSQDA,DEP_NORM,n_hospitales_10km
121568,PUEBLO NUEVO,INEI,1606010070,CASERÍO,CONTAMANA,UCAYALI,LORETO,1754,Centro Poblado Menor,-75.61702,-75.61702,PUEBLO NUEVO,LORETO,0
121569,NUEVO BELLAVISTA,INEI,1606030021,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1954,Centro Poblado Menor,-74.87171,-74.87171,NUEVO BELLAVISTA,LORETO,0
121570,MARISCAL CASTILLA,IGN,1606030022,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1954,Centro Poblado Menor,-74.78466,-74.78466,MARISCAL CASTILLA,LORETO,0
121571,NUEVO EGIPTO,IGN,,,CONTAMANA,UCAYALI,LORETO,1754,Centro Poblado Menor,-75.60278,-75.60278,NUEVO EGIPTO,LORETO,0
121572,NUEVO EDEN,IGN,,,CONTAMANA,UCAYALI,LORETO,1754,Centro Poblado Menor,-75.65728,-75.65728,NUEVO EDEN,LORETO,0
121573,PROGRESO,IGN,1606010042,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.03402,-75.03402,PROGRESO,LORETO,0
121574,SAN CARLOS,IGN,1606010046,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.02525,-75.02525,SAN CARLOS,LORETO,0
121575,SAN JUAN DE AMAQUIRIA,INEI,1606010047,CASERÍO,CONTAMANA,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.81984,-74.81984,SAN JUAN DE AMAQUIRIA,LORETO,0
121576,AMAQUIRIA,INEI,1606010048,CASERÍO,CONTAMANA,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.91503,-74.91503,AMAQUIRIA,LORETO,0
121577,TUMBES,IGN,1606010049,CASERÍO,CONTAMANA,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.97991,-74.97991,TUMBES,LORETO,0
121578,HOLANDA,IGN,1606010050,CASERÍO,CONTAMANA,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.98431,-74.98431,HOLANDA,LORETO,0
121579,SAN MIGUEL,INEI,1606010051,CASERÍO,CONTAMANA,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.93688,-74.93688,SAN MIGUEL,LORETO,0
121580,SAN ROQUE,IGN,1606010052,CASERÍO,CONTAMANA,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.93256,-74.93256,SAN ROQUE,LORETO,0
121581,SANTA MARIA,INEI,1606010053,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.01432,-75.01432,SANTA MARIA,LORETO,0
121582,TRES UNIDOS,INEI,1606010054,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.07105,-75.07105,TRES UNIDOS,LORETO,0
121583,9 DE OCTUBRE,IGN,1606010055,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.18215,-75.18215,9 DE OCTUBRE,LORETO,0
121584,TRES HERMANOS,INEI,1606010056,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.18248,-75.18248,TRES HERMANOS,LORETO,0
121585,SANTA ROSA,IGN,1606010057,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.1765,-75.1765,SANTA ROSA,LORETO,0
121586,FRAY MARTIN PISQUI,INEI,1606010058,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.1439,-75.1439,FRAY MARTIN PISQUI,LORETO,0
121587,OBISPO IRAZOLA,INEI,1606010059,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.24623,-75.24623,OBISPO IRAZOLA,LORETO,0
121588,PUERTO PRADO,IGN,1606010060,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.29183,-75.29183,PUERTO PRADO,LORETO,0
121589,JERUSALEN,IGN,1606010061,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.33343,-75.33343,JERUSALEN,LORETO,0
121590,VENCEDOR,IGN,1606010062,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.30669,-75.30669,VENCEDOR,LORETO,0
121591,PALESTINA,IGN,1606010063,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.34289,-75.34289,PALESTINA,LORETO,0
121592,GILGAL,IGN,1606010064,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.3175,-75.3175,GILGAL,LORETO,0
121593,TUPAC AMARU,INEI,1606010065,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.34849,-75.34849,TUPAC AMARU,LORETO,0
121594,CHARASMANA,IGN,1606010066,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.36945,-75.36945,CHARASMANA,LORETO,0
121595,NUEVO AÑAMPA,INEI,1606010067,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.38492,-75.38492,NUEVO AÑAMPA,LORETO,0
121596,ARCO IRIS,INEI,1606010068,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.42923,-75.42923,ARCO IRIS,LORETO,0
121597,MANCO CAPAC,INEI,1606010069,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.4517,-75.4517,MANCO CAPAC,LORETO,0
121598,LA CUMBRE,INEI,1606010071,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.45595,-75.45595,LA CUMBRE,LORETO,0
121599,EDEN,IGN,1606010072,CASERÍO,CONTAMANA,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.49348,-75.49348,EDEN,LORETO,0
121600,TIRUNTAN,IGN,1606030001,PUEBLO,PADRE MARQUEZ,UCAYALI,LORETO,1955,Capital de Distrito,-74.84016,-74.84016,TIRUNTAN,LORETO,0
121601,ROABOYA,IGN,1606030002,PUEBLO,PADRE MARQUEZ,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.92893,-74.92893,ROABOYA,LORETO,0
121602,PAHOYHAN,IGN,1606030003,PUEBLO,PADRE MARQUEZ,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.998,-74.998,PAHOYHAN,LORETO,0
121603,NUEVO GALILEO,INEI,1606030004,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.0095,-75.0095,NUEVO GALILEO,LORETO,0
121604,CUNSHAMAY,INEI,1606030005,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.98772,-74.98772,CUNSHAMAY,LORETO,0
121605,SANTA ANA,IGN,1606030006,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1855,Centro Poblado Menor,-75.00267,-75.00267,SANTA ANA,LORETO,0
121606,ROABOYA NATIVA,IGN,1606030007,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.90452,-74.90452,ROABOYA NATIVA,LORETO,0
121607,PAOCOCHA,IGN,1606030008,ANEXO,PADRE MARQUEZ,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.99504,-74.99504,PAOCOCHA,LORETO,0
121608,SHARAMASHO,IGN,1606030010,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.90975,-74.90975,SHARAMASHO,LORETO,0
121609,PORVENIR,INEI,1606030011,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.87344,-74.87344,PORVENIR,LORETO,0
121610,SAN JERONIMO,IGN,1606030012,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1195,Centro Poblado Menor,-74.75793,-74.75793,SAN JERONIMO,LORETO,0
121611,SAN JOSE DE VINUYA,IGN,1606030013,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1195,Centro Poblado Menor,-74.71163,-74.71163,SAN JOSE DE VINUYA,LORETO,0
121612,SANTA LUCITA,INEI,1606030014,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1195,Centro Poblado Menor,-74.67937,-74.67937,SANTA LUCITA,LORETO,0
121613,ALFONSO UGARTE,IGN,1606030015,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.82293,-74.82293,ALFONSO UGARTE,LORETO,0
121614,NUEVO SAN MARTIN,IGN,1606030016,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.85505,-74.85505,NUEVO SAN MARTIN,LORETO,0
121615,SAN ANTONIO,IGN,1606030017,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1955,Centro Poblado Menor,-74.90904,-74.90904,SAN ANTONIO,LORETO,0
121616,SAN FRANCISCO,IGN,1606030018,CASERÍO,PADRE MARQUEZ,UCAYALI,LORETO,1195,Centro Poblado Menor,-74.72881,-74.72881,SAN FRANCISCO,LORETO,0
